Profili IPE,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
IPE 330,49.1,330,160,7.5,11.5,18,62.61,307,271,M16,78,96,1.254,25.52,11770,713.1,804.3,13.71,30.81,788.1,98.52,153.7,3.55,51.59,28.15,199.1,,,,,,,,,,
IPE O 330,57,334,162,8.5,13.5,18,72.62,307,271,M16,80,98,1.268,22.24,13910,833,942.8,13.84,34.88,960.4,118.6,185,3.64,56.59,42.15,245.7,,,,,,,,,,
IPE A 360,50.2,357.6,170,6.6,11.5,18,63.96,334.6,298.6,M22,86,88,1.351,26.91,14520,811.8,906.8,15.06,29.76,944.3,111.1,171.9,3.84,50.69,26.51,282,,,,,,,,,,
IPE 360,57.1,360,170,8,12.7,18,72.73,334.6,298.6,M22,88,88,1.353,23.7,16270,903.6,1019,14.95,35.14,1043,122.8,191.1,3.79,54.49,37.32,313.6,,,,,,,,,,
IPE O 360,66,364,172,9.2,14.7,18,84.13,334.6,298.6,M22,90,90,1.367,20.69,19050,1047,1186,15.05,40.21,1251,145.5,226.9,3.86,59.69,55.76,380.3,,,,,,,,,,
IPE A 400,57.4,397,180,7,12,21,73.1,373,331,M22,94,98,1.464,25.51,20290,1022,1144,16.66,35.78,1171,130.1,202.1,4,55.6,34.79,432.2,,,,,,,,,,
IPE 400,66.3,400,180,8.6,13.5,21,84.46,373,331,M22,96,98,1.467,22.12,23130,1156,1307,16.55,42.69,1318,146.4,229,3.95,60.2,51.08,490,,,,,,,,,,
IPE O 400,75.7,404,182,9.7,15.5,21,96.39,373,331,M22,96,100,1.481,19.57,26750,1324,1502,16.66,47.98,1564,171.9,269.1,4.03,65.3,73.1,587.6,,,,,,,,,,
IPE A 450,67.2,447,190,7.6,13.1,21,85.55,420.8,378.8,M24,100,102,1.603,23.87,29760,1331,1494,18.65,42.26,1502,158.1,245.7,4.19,58.4,45.67,704.9,,,,,,,,,,
IPE 450,77.6,450,190,9.4,14.6,21,98.82,420.8,378.8,M24,100,102,1.605,20.69,33740,1500,1702,18.48,50.85,1676,176.4,276.4,4.12,63.2,66.87,791,,,,,,,,,,
IPE O 450,92.4,456,192,11,17.6,21,117.7,420.8,378.8,M24,102,104,1.622,17.56,40920,1795,2046,18.65,59.4,2085,217.2,341,4.21,70.8,109,997.6,,,,,,,,,,
IPE A 500,79.4,497,200,8.4,14.5,21,101.1,468,426,M24,100,112,1.741,21.94,42930,1728,1946,20.61,50.41,1939,193.9,301.6,4.38,62,62.78,1125,,,,,,,,,,
IPE 500,90.7,500,200,10.2,16,21,115.5,468,426,M24,102,112,1.744,19.23,48200,1928,2194,20.43,59.87,2142,214.2,335.9,4.31,66.8,89.29,1249,,,,,,,,,,
IPE O 500,107,506,202,12,19,21,136.7,468,426,M24,104,114,1.76,16.4,57780,2284,2613,20.56,70.21,2622,259.6,408.5,4.38,74.6,143.5,1548,,,,,,,,,,
IPE A 550,92.1,547,210,9,15.7,24,117.3,515.6,467.6,M24,106,122,1.875,20.36,59980,2193,2475,22.61,60.3,2432,231.6,361.5,4.55,68.52,86.53,1710,,,,,,,,,,
IPE 550                 ,106,550,210,11.1,17.2,24,134.4,515.6,467.6,M24,110,122,1.877,17.78,67120,2441,2787,22.35,72.34,2668,254.1,400.5,4.45,73.62,123.2,1884,,,,,,,,,,
IPE O 550,123,556,212,12.7,20.2,24,156.1,515.6,467.6,M24,110,122,1.893,15.45,79160,2847,3263,22.52,82.69,3224,304.2,480.5,4.55,81.22,187.5,2302,,,,,,,,,,
IPE A 600,108,597,220,9.8,17.5,24,137,562,514,M27,114,118,2.013,18.72,82920,2778,3141,24.6,70.14,3116,283.3,442.1,4.77,72.92,118.8,2607,,,,,,,,,,
IPE 600,122,600,220,12,19,24,156,562,514,M27,116,118,2.015,16.45,92080,3069,3512,24.3,83.78,3387,307.9,485.6,4.66,78.12,165.4,2846,,,,,,,,,,
IPE O 600,154,610,224,15,24,24,196.8,562,514,M27,118,122,2.045,13.24,118300,3879,4471,24.52,104.4,4521,403.6,640.1,4.79,91.12,318.1,3860,,,,,,,,,,
IPE 750 x 147,147,753,265,13.2,17,17,187.5,719,685,M27,104,164,2.51,17.06,166100,4411,5110,29.76,105.4,5289,399.2,630.8,5.31,67.12,161.5,7141,,,,,,,,,,
IPE 750 x 173,173,762,267,14.4,21.6,17,221.3,718.8,684.8,M27,104,166,2.534,14.58,205800,5402,6218,30.49,116.4,6873,514.9,809.9,5.57,77.52,273.6,9391,,,,,,,,,,
IPE 750 x 196,196,770,268,15.6,25.4,17,250.8,719.2,685.2,M27,106,166,2.552,12.96,240300,6241,7174,30.95,127.3,8175,610.1,958.8,5.71,86.32,408.9,11290,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profili IPN,G,h,b,tw,tf,r1,r2,A,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
,[kg/m], [mm],[mm], [mm], [mm], [mm], [mm],[cm2], [mm],, [mm], [mm],[m2/m], [m2/t],[cm4] ,[cm3],[cm3],[cm],[cm2],[cm4] ,[cm3],[cm3],[cm], [mm],[cm4] ,[cm6] ,,,,,,,,,,
,14.3,140,66,5.7,8.6,5.7,3.4,18.3,109.1,-,-,-,0.502,34.94,573,81.9,95.4,5.61,8.65,35.2,10.7,17.9,1.4,31.8,4.32,1.54,,,,,,,,,,
IPN 120,11.1,120,58,5.1,7.7,5.1,3.1,14.2,92.4,-,-,-,0.439,39.38,328,54.7,63.6,4.81,6.63,21.5,7.41,12.4,1.23,28.4,2.71,0.69,,,,,,,,,,
IPN 140,14.3,140,66,5.7,8.6,5.7,3.4,18.3,109.1,-,-,-,0.502,34.94,573,81.9,95.4,5.61,8.65,35.2,10.7,17.9,1.4,31.8,4.32,1.54,,,,,,,,,,
IPN 160,17.9,160,74,6.3,9.5,6.3,3.8,22.8,125.8,-,-,-,0.575,32.13,935,117,136,6.4,10.83,54.7,14.8,24.9,1.55,35.2,6.57,3.14,,,,,,,,,,
IPN 180,21.9,180,82,6.9,10.4,6.9,4.1,27.9,142.4,-,-,-,0.64,29.22,1450,161,187,7.2,13.35,81.3,19.8,33.2,1.71,38.6,9.58,5.92,,,,,,,,,,
IPN 200,26.2,200,90,7.5,11.3,7.5,4.5,33.4,159.1,-,-,-,0.709,27.04,2140,214,250,8,16.03,117,26,43.5,1.87,42,13.5,10.5,,,,,,,,,,
IPN 220,31.1,220,98,8.1,12.2,8.1,4.9,39.5,175.8,M10,50,56,0.775,24.99,3060,278,324,8.8,19.06,162,33.1,55.7,2.02,45.4,18.6,17.8,,,,,,,,,,
IPN 240,36.2,240,106,8.7,13.1,8.7,5.2,46.1,192.5,M10,54,60,0.844,23.32,4250,354,412,9.59,22.33,221,41.7,70,2.2,48.9,25,28.7,,,,,,,,,,
IPN 260,41.9,260,113,9.4,14.1,9.4,5.6,53.3,208.9,M12,62,62,0.906,21.65,5740,442,514,10.4,26.08,288,51,85.9,2.32,52.6,33.5,44.1,,,,,,,,,,
IPN 280,47.9,280,119,10.1,15.2,10.1,6.1,61,225.1,M12,68,68,0.966,20.17,7590,542,632,11.1,30.18,364,61.2,103,2.45,56.4,44.2,64.6,,,,,,,,,,
IPN 300,54.2,300,125,10.8,16.2,10.8,6.5,69,241.6,M12,70,74,1.03,19.02,9800,653,762,11.9,34.58,451,72.2,121,2.56,60.1,56.8,91.8,,,,,,,,,,
IPN 320,61,320,131,11.5,17.3,11.5,6.9,77.7,257.9,M12,70,80,1.09,17.87,12510,782,914,12.7,39.26,555,84.7,143,2.67,63.9,72.5,129,,,,,,,,,,
IPN 340,68,340,137,12.2,18.3,12.2,7.3,86.7,274.3,M12,78,86,1.15,16.9,15700,923,1080,13.5,44.27,674,98.4,166,2.8,67.6,90.4,176,,,,,,,,,,
IPN 360,76.1,360,143,13,19.5,13,7.8,97,290.2,M12,78,92,1.21,15.89,19610,1090,1276,14.2,49.95,818,114,194,2.9,71.8,115,240,,,,,,,,,,
IPN 380,84,380,149,13.7,20.5,13.7,8.2,107,306.7,M16,84,86,1.27,15.12,24010,1260,1482,15,55.55,975,131,221,3.02,75.4,141,319,,,,,,,,,,
IPN 400,92.4,400,155,14.4,21.6,14.4,8.6,118,322.9,M16,86,92,1.33,14.36,29210,1460,1714,15.7,61.69,1160,149,253,3.13,79.3,170,420,,,,,,,,,,
IPN 450,115,450,170,16.2,24.3,16.2,9.7,147,363.6,M16,92,106,1.48,12.83,45850,2040,2400,17.7,77.79,1730,203,345,3.43,88.9,267,791,,,,,,,,,,
IPN 500,141,500,185,18,27,18,10.8,179,404.3,M20,102,110,1.63,11.6,68740,2750,3240,19.6,95.6,2480,268,456,3.72,98.5,402,1400,,,,,,,,,,
IPN 550,166,550,200,19,30,19,11.9,212,445.6,M22,112,118,1.8,10.8,99180,3610,4240,21.6,111.3,3490,349,592,4.02,107.3,544,2390,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profili HE/HL,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
,[kg/m], [mm],[mm], [mm], [mm], [mm],[cm2], [mm], [mm],, [mm], [mm],[m2/m], [m2/t],[cm4] ,[cm3],[cm3],[cm],[cm2],[cm4] ,[cm3],[cm3],[cm], [mm],[cm4] ,[cm6] ,,,,,,,,,,
,24.7,133,140,5.5,8.5,12,31.42,116,92,M16,64,76,0.794,32.21,1033,155.4,173.5,5.73,10.12,389.3,55.62,84.85,3.52,36.56,8.13,15.06,,,,,,,,,,
HE 100 AA,12.2,91,100,4.2,5.5,12,15.6,80,56,M10,54,58,0.553,45.17,236.5,51.98,58.36,3.89,6.15,92.06,18.41,28.44,2.43,29.26,2.51,1.68,,,,,,,,,,
HE 100 A,16.7,96,100,5,8,12,21.24,80,56,M10,54,58,0.561,33.68,349.2,72.76,83.01,4.06,7.56,133.8,26.76,41.14,2.51,35.06,5.24,2.58,,,,,,,,,,
HE 100 B,20.4,100,100,6,10,12,26.04,80,56,M10,56,58,0.567,27.76,449.5,89.91,104.2,4.16,9.04,167.3,33.45,51.42,2.53,40.06,9.25,3.38,,,,,,,,,,
HE 100 M,41.8,120,106,12,20,12,53.24,80,56,M10,62,64,0.619,14.82,1143,190.4,235.8,4.63,18.04,399.2,75.31,116.3,2.74,66.06,68.21,9.93,,,,,,,,,,
HE 120 AA,14.6,109,120,4.2,5.5,12,18.55,98,74,M12,58,68,0.669,45.94,413.4,75.85,84.12,4.72,6.9,158.8,26.47,40.62,2.93,29.26,2.78,4.24,,,,,,,,,,
HE 120 A,19.9,114,120,5,8,12,25.34,98,74,M12,58,68,0.677,34.06,606.2,106.3,119.5,4.89,8.46,230.9,38.48,58.85,3.02,35.06,5.99,6.47,,,,,,,,,,
HE 120 B,26.7,120,120,6.5,11,12,34.01,98,74,M12,60,68,0.686,25.71,864.4,144.1,165.2,5.04,10.96,317.5,52.92,80.97,3.06,42.56,13.84,9.41,,,,,,,,,,
HE 120 M,52.1,140,126,12.5,21,12,66.41,98,74,M12,66,74,0.738,14.16,2018,288.2,350.6,5.51,21.15,702.8,111.6,171.6,3.25,68.56,91.66,24.79,,,,,,,,,,
HE 140 AA,18.1,128,140,4.3,6,12,23.02,116,92,M16,64,76,0.787,43.53,719.5,112.4,123.8,5.59,7.92,274.8,39.26,59.93,3.45,30.36,3.54,10.21,,,,,,,,,,
HE 140 A,24.7,133,140,5.5,8.5,12,31.42,116,92,M16,64,76,0.794,32.21,1033,155.4,173.5,5.73,10.12,389.3,55.62,84.85,3.52,36.56,8.13,15.06,,,,,,,,,,
HE 140 B,33.7,140,140,7,12,12,42.96,116,92,M16,66,76,0.805,23.88,1509,215.6,245.4,5.93,13.08,549.7,78.52,119.8,3.58,45.06,20.06,22.48,,,,,,,,,,
HE 140 M,63.2,160,146,13,22,12,80.56,116,92,M16,72,82,0.857,13.56,3291,411.4,493.8,6.39,24.46,1144,156.8,240.5,3.77,71.06,120,54.33,,,,,,,,,,
HE 160 AA,23.8,148,160,4.5,7,15,30.36,134,104,M20,76,84,0.901,37.81,1283,173.4,190.4,6.5,10.38,478.7,59.84,91.36,3.97,36.07,6.33,23.75,,,,,,,,,,
HE 160 A,30.4,152,160,6,9,15,38.77,134,104,M20,78,84,0.906,29.78,1673,220.1,245.1,6.57,13.21,615.6,76.95,117.6,3.98,41.57,12.19,31.41,,,,,,,,,,
HE 160 B,42.6,160,160,8,13,15,54.25,134,104,M20,80,84,0.918,21.56,2492,311.5,354,6.78,17.59,889.2,111.2,170,4.05,51.57,31.24,47.94,,,,,,,,,,
HE 160 M,76.2,180,166,14,23,15,97.05,134,104,M20,86,90,0.97,12.74,5098,566.5,674.6,7.25,30.81,1759,211.9,325.5,4.26,77.57,162.4,108.1,,,,,,,,,,
HE 180 AA,28.7,167,180,5,7.5,15,36.53,152,122,M24,84,92,1.018,35.51,1967,235.6,258.2,7.34,12.16,730,81.11,123.6,4.47,37.57,8.33,46.36,,,,,,,,,,
HE 180 A,35.5,171,180,6,9.5,15,45.25,152,122,M24,86,92,1.024,28.83,2510,293.6,324.9,7.45,14.47,924.6,102.7,156.5,4.52,42.57,14.8,60.21,,,,,,,,,,
HE 180 B,51.2,180,180,8.5,14,15,65.25,152,122,M24,88,92,1.037,20.25,3831,425.7,481.4,7.66,20.24,1363,151.4,231,4.57,54.07,42.16,93.75,,,,,,,,,,
HE 180 M,88.9,200,186,14.5,24,15,113.3,152,122,M24,94,98,1.089,12.25,7483,748.3,883.4,8.13,34.65,2580,277.4,425.2,4.77,80.07,203.3,199.3,,,,,,,,,,
HE 200 AA,34.6,186,200,5.5,8,18,44.13,170,134,M27,96,100,1.13,32.62,2944,316.6,347.1,8.17,15.45,1068,106.8,163.2,4.92,42.59,12.69,84.49,,,,,,,,,,
HE 200 A,42.3,190,200,6.5,10,18,53.83,170,134,M27,98,100,1.136,26.89,3692,388.6,429.5,8.28,18.08,1336,133.6,203.8,4.98,47.59,20.98,108,,,,,,,,,,
HE 200 B,61.3,200,200,9,15,18,78.08,170,134,M27,100,100,1.151,18.78,5696,569.6,642.5,8.54,24.83,2003,200.3,305.8,5.07,60.09,59.28,171.1,,,,,,,,,,
HE 200 M,103,220,206,15,25,18,131.3,170,134,M27,106,106,1.203,11.67,10640,967.4,1135,9,41.03,3651,354.5,543.2,5.27,86.09,259.4,346.3,,,,,,,,,,
HE 220 AA,40.4,205,220,6,8.5,18,51.46,188,152,M27,98,118,1.247,30.87,4170,406.9,445.5,9,17.63,1510,137.3,209.3,5.42,44.09,15.93,145.6,,,,,,,,,,
HE 220 A,50.5,210,220,7,11,18,64.34,188,152,M27,98,118,1.255,24.85,5410,515.2,568.5,9.17,20.67,1955,177.7,270.6,5.51,50.09,28.46,193.3,,,,,,,,,,
HE 220 B,71.5,220,220,9.5,16,18,91.04,188,152,M27,100,118,1.27,17.77,8091,735.5,827,9.43,27.92,2843,258.5,393.9,5.59,62.59,76.57,295.4,,,,,,,,,,
HE 220 M,117,240,226,15.5,26,18,149.4,188,152,M27,108,124,1.322,11.27,14600,1217,1419,9.89,45.31,5012,443.5,678.6,5.79,88.59,315.3,572.7,,,,,,,,,,
HE 240 AA,47.4,224,240,6.5,9,21,60.38,206,164,M27,104,138,1.359,28.67,5835,521,570.6,9.83,21.54,2077,173.1,264.4,5.87,49.1,22.98,239.6,,,,,,,,,,
HE 240 A,60.3,230,240,7.5,12,21,76.84,206,164,M27,104,138,1.369,22.7,7763,675.1,744.6,10.05,25.18,2769,230.7,351.7,6,56.1,41.55,328.5,,,,,,,,,,
HE 240 B,83.2,240,240,10,17,21,106,206,164,M27,108,138,1.384,16.63,11260,938.3,1053,10.31,33.23,3923,326.9,498.4,6.08,68.6,102.7,486.9,,,,,,,,,,
HE 240 M,157,270,248,18,32,21,199.6,206,164,M27,116,146,1.46,9.318,24290,1799,2117,11.03,60.07,8153,657.5,1006,6.39,106.6,627.9,1152,,,,,,,,,,
HE 260 AA,54.1,244,260,6.5,9.5,24,68.97,225,177,M27,110,158,1.474,27.22,7981,654.1,714.5,10.76,24.75,2788,214.5,327.7,6.36,53.62,30.31,382.6,,,,,,,,,,
HE 260 A,68.2,250,260,7.5,12.5,24,86.82,225,177,M27,110,158,1.484,21.77,10450,836.4,919.8,10.97,28.76,3668,282.1,430.2,6.5,60.62,52.37,516.4,,,,,,,,,,
HE 260 B,93,260,260,10,17.5,24,118.4,225,177,M27,114,158,1.499,16.12,14920,1148,1283,11.22,37.59,5135,395,602.2,6.58,73.12,123.8,753.7,,,,,,,,,,
HE 260 M,172,290,268,18,32.5,24,219.6,225,177,M27,122,166,1.575,9.133,31310,2159,2524,11.94,66.89,10450,779.7,1192,6.9,111.1,719,1728,,,,,,,,,,
HE 280 AA,61.2,264,280,7,10,24,78.02,244,196,M27,110,178,1.593,26.01,10560,799.8,873.1,11.63,27.52,3664,261.7,399.4,6.85,55.12,36.22,590.1,,,,,,,,,,
HE 280 A,76.4,270,280,8,13,24,97.26,244,196,M27,112,178,1.603,20.99,13670,1013,1112,11.86,31.74,4763,340.2,518.1,7,62.12,62.1,785.4,,,,,,,,,,
HE 280 B,103,280,280,10.5,18,24,131.4,244,196,M27,114,178,1.618,15.69,19270,1376,1534,12.11,41.09,6595,471,717.6,7.09,74.62,143.7,1130,,,,,,,,,,
HE 280 M,189,310,288,18.5,33,24,240.2,244,196,M27,122,186,1.694,8.984,39550,2551,2966,12.83,72.03,13160,914.1,1397,7.4,112.6,807.3,2520,,,,,,,,,,
HE 300 AA,69.8,283,300,7.5,10.5,27,88.91,262,208,M27,116,198,1.705,24.42,13800,975.6,1065,12.46,32.37,4734,315.6,482.3,7.3,60.13,49.35,877.2,,,,,,,,,,
HE 300 A,88.3,290,300,8.5,14,27,112.5,262,208,M27,118,198,1.717,19.43,18260,1260,1383,12.74,37.28,6310,420.6,641.2,7.49,68.13,85.17,1200,,,,,,,,,,
HE 300 B,117,300,300,11,19,27,149.1,262,208,M27,120,198,1.732,14.8,25170,1678,1869,12.99,47.43,8563,570.9,870.1,7.58,80.63,185,1688,,,,,,,,,,
HE 300 M,238,340,310,21,39,27,303.1,262,208,M27,132,208,1.832,7.699,59200,3482,4078,13.98,90.53,19400,1252,1913,8,130.6,1408,4386,,,,,,,,,,
HE 320 AA,74.2,301,300,8,11,27,94.58,279,225,M27,118,198,1.74,23.43,16450,1093,1196,13.19,35.4,4959,330.6,505.7,7.24,61.63,55.87,1041,,,,,,,,,,
HE 320 A,97.6,310,300,9,15.5,27,124.4,279,225,M27,118,198,1.756,17.98,22930,1479,1628,13.58,41.13,6985,465.7,709.7,7.49,71.63,108,1512,,,,,,,,,,
HE 320 B,127,320,300,11.5,20.5,27,161.3,279,225,M27,122,198,1.771,13.98,30820,1926,2149,13.82,51.77,9239,615.9,939.1,7.57,84.13,225.1,2069,,,,,,,,,,
HE 320 M,245,359,309,21,40,27,312,279,225,M27,132,204,1.866,7.616,68130,3796,4435,14.78,94.85,19710,1276,1951,7.95,132.6,1501,5004,,,,,,,,,,
HE 340 AA,78.9,320,300,8.5,11.5,27,100.5,297,243,M27,118,198,1.777,22.52,19550,1222,1341,13.95,38.69,5185,345.6,529.3,7.18,63.13,63.07,1231,,,,,,,,,,
HE 340 A,105,330,300,9.5,16.5,27,133.5,297,243,M27,118,198,1.795,17.13,27690,1678,1850,14.4,44.95,7436,495.7,755.9,7.46,74.13,127.2,1824,,,,,,,,,,
HE 340 B,134,340,300,12,21.5,27,170.9,297,243,M27,122,198,1.81,13.49,36660,2156,2408,14.65,56.09,9690,646,985.7,7.53,86.63,257.2,2454,,,,,,,,,,
HE 340 M,248,377,309,21,40,27,315.8,297,243,M27,132,204,1.902,7.67,76370,4052,4718,15.55,98.63,19710,1276,1953,7.9,132.6,1506,5584,,,,,,,,,,
HE 360 AA,83.7,339,300,9,12,27,106.6,315,261,M27,118,198,1.814,21.67,23040,1359,1495,14.7,42.17,5410,360.7,553,7.12,64.63,70.99,1444,,,,,,,,,,
HE 360 A,112,350,300,10,17.5,27,142.8,315,261,M27,120,198,1.834,16.36,33090,1891,2088,15.22,48.96,7887,525.8,802.3,7.43,76.63,148.8,2177,,,,,,,,,,
HE 360 B,142,360,300,12.5,22.5,27,180.6,315,261,M27,122,198,1.849,13.04,43190,2400,2683,15.46,60.6,10140,676.1,1032,7.49,89.13,292.5,2883,,,,,,,,,,
HE 360 M,250,395,308,21,40,27,318.8,315,261,M27,132,204,1.934,7.73,84870,4297,4989,16.32,102.4,19520,1268,1942,7.83,132.6,1507,6137,,,,,,,,,,
HE 400 AA,92.4,378,300,9.5,13,27,117.7,352,298,M27,118,198,1.891,20.46,31250,1654,1824,16.3,47.95,5861,390.8,599.7,7.06,67.13,84.69,1948,,,,,,,,,,
HE 400 A,125,390,300,11,19,27,159,352,298,M27,120,198,1.912,15.32,45070,2311,2562,16.84,57.33,8564,570.9,872.9,7.34,80.63,189,2942,,,,,,,,,,
HE 400 B,155,400,300,13.5,24,27,197.8,352,298,M27,124,198,1.927,12.41,57680,2884,3232,17.08,69.98,10820,721.3,1104,7.4,93.13,355.7,3817,,,,,,,,,,
