Profili IPE,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
HE 400 M,256,432,307,21,40,27,325.8,352,298,M27,132,202,2.004,7.835,104100,4820,5571,17.88,110.2,19340,1260,1934,7.7,132.6,1515,7410,,,,,,,,,,
HE 450 AA,99.7,425,300,10,13.5,27,127.1,398,344,M27,120,198,1.984,19.89,41890,1971,2183,18.16,54.7,6088,405.8,624.4,6.92,68.63,95.61,2572,,,,,,,,,,
HE 450 A,140,440,300,11.5,21,27,178,398,344,M27,122,198,2.011,14.39,63720,2896,3216,18.92,65.78,9465,631,965.5,7.29,85.13,243.8,4148,,,,,,,,,,
HE 450 B,171,450,300,14,26,27,218,398,344,M27,124,198,2.026,11.84,79890,3551,3982,19.14,79.66,11720,781.4,1198,7.33,97.63,440.5,5258,,,,,,,,,,
HE 450 M,263,478,307,21,40,27,335.4,398,344,M27,132,202,2.096,7.959,131500,5501,6331,19.8,119.8,19340,1260,1939,7.59,132.6,1529,9251,,,,,,,,,,
HE 500 AA,107,472,300,10.5,14,27,136.9,444,390,M27,120,198,2.077,19.33,54640,2315,2576,19.98,61.91,6314,420.9,649.3,6.79,70.13,107.7,3304,,,,,,,,,,
HE 500 A,155,490,300,12,23,27,197.5,444,390,M27,122,198,2.11,13.6,86970,3550,3949,20.98,74.72,10370,691.1,1059,7.24,89.63,309.3,5643,,,,,,,,,,
HE 500 B,187,500,300,14.5,28,27,238.6,444,390,M27,124,198,2.125,11.34,107200,4287,4815,21.19,89.82,12620,841.6,1292,7.27,102.1,538.4,7018,,,,,,,,,,
HE 500 M,270,524,306,21,40,27,344.3,444,390,M27,132,202,2.184,8.079,161900,6180,7094,21.69,129.5,19150,1252,1932,7.46,132.6,1539,11190,,,,,,,,,,
HE 550 AA,120,522,300,11.5,15,27,152.8,492,438,M27,122,198,2.175,18.13,72870,2792,3128,21.84,72.66,6767,451.1,698.6,6.65,73.13,133.7,4338,,,,,,,,,,
HE 550 A,166,540,300,12.5,24,27,211.8,492,438,M27,122,198,2.209,13.29,111900,4146,4622,22.99,83.72,10820,721.3,1107,7.15,92.13,351.5,7189,,,,,,,,,,
HE 550 B,199,550,300,15,29,27,254.1,492,438,M27,124,198,2.224,11.15,136700,4971,5591,23.2,100.1,13080,871.8,1341,7.17,104.6,600.3,8856,,,,,,,,,,
HE 550 M,278,572,306,21,40,27,354.4,492,438,M27,132,202,2.28,8.195,198000,6923,7933,23.64,139.6,19160,1252,1937,7.35,132.6,1554,13520,,,,,,,,,,
HE 600 AA,129,571,300,12,15.5,27,164.1,540,486,M27,122,198,2.272,17.64,91900,3218,3623,23.66,81.29,6993,466.2,724.5,6.53,74.63,149.8,5381,,,,,,,,,,
HE 600 A,178,590,300,13,25,27,226.5,540,486,M27,122,198,2.308,12.98,141200,4787,5350,24.97,93.21,11270,751.4,1156,7.05,94.63,397.8,8978,,,,,,,,,,
HE 600 B,212,600,300,15.5,30,27,270,540,486,M27,126,198,2.323,10.96,171000,5701,6425,25.17,110.8,13530,902,1391,7.08,107.1,667.2,10970,,,,,,,,,,
HE 600 M,285,620,305,21,40,27,363.7,540,486,M27,132,200,2.372,8.308,237400,7660,8772,25.55,149.7,18980,1244,1930,7.22,132.6,1564,15910,,,,,,,,,,
HE 600 x 337,337,632,310,25.5,46,27,429.2,540,486,M27,138,202,2.407,7.144,283200,8961,10380,25.69,180.5,22940,1480,2310,7.31,149.1,2451,19610,,,,,,,,,,
HE 600 x 399,399,648,315,30,54,27,508.5,540,486,M27,142,208,2.45,6.137,344600,10640,12460,26.03,213.6,28280,1796,2814,7.46,169.6,3966,24810,,,,,,,,,,
HE 650 AA,138,620,300,12.5,16,27,175.8,588,534,M27,122,198,2.369,17.17,113900,3676,4160,25.46,90.4,7221,481.4,750.7,6.41,76.13,167.5,6567,,,,,,,,,,
HE 650 A,190,640,300,13.5,26,27,241.6,588,534,M27,124,198,2.407,12.69,175200,5474,6136,26.93,103.2,11720,781.6,1205,6.97,97.13,448.3,11030,,,,,,,,,,
HE 650 B,225,650,300,16,31,27,286.3,588,534,M27,126,198,2.422,10.77,210600,6480,7320,27.12,122,13980,932.3,1441,6.99,109.6,739.2,13360,,,,,,,,,,
HE 650 M,293,668,305,21,40,27,373.7,588,534,M27,132,200,2.468,8.411,281700,8433,9657,27.45,159.7,18980,1245,1936,7.13,132.6,1579,18650,,,,,,,,,,
HE 650 x 343,343,680,309,25,46,27,437.5,588,534,M27,138,202,2.5,7.278,333700,9815,11350,27.62,189.6,22720,1470,2300,7.21,148.6,2442,22730,,,,,,,,,,
HE 650 x 407,407,696,314,29.5,54,27,518.8,588,534,M27,142,206,2.543,6.243,405400,11650,13620,27.95,224.8,28020,1785,2803,7.35,169.1,3958,28710,,,,,,,,,,
HE 700 AA,150,670,300,13,17,27,190.9,636,582,M27,122,198,2.468,16.46,142700,4260,4840,27.34,100.3,7673,511.5,799.7,6.34,78.63,195.2,8155,,,,,,,,,,
HE 700 A,204,690,300,14.5,27,27,260.5,636,582,M27,124,198,2.505,12.25,215300,6241,7032,28.75,117,12180,811.9,1257,6.84,100.1,513.9,13350,,,,,,,,,,
HE 700 B,241,700,300,17,32,27,306.4,636,582,M27,126,198,2.52,10.48,256900,7340,8327,28.96,137.1,14440,962.7,1495,6.87,112.6,830.9,16060,,,,,,,,,,
HE 700 M,301,716,304,21,40,27,383,636,582,M27,132,200,2.56,8.513,329300,9198,10540,29.32,169.8,18800,1237,1929,7.01,132.6,1589,21400,,,,,,,,,,
HE 700 x 352,352,728,308,25,46,27,448.6,636,582,M27,138,200,2.592,7.359,389700,10710,12390,29.47,201.6,22510,1461,2293,7.08,148.6,2461,26050,,,,,,,,,,
HE 700 x 418,418,744,313,29.5,54,27,531.9,636,582,M27,142,206,2.635,6.31,472500,12700,14840,29.8,239,27760,1774,2797,7.22,169.1,3989,32850,,,,,,,,,,
HE 800 AA,172,770,300,14,18,30,218.5,734,674,M27,130,198,2.66,15.51,208900,5426,6225,30.92,123.8,8134,542.2,856.6,6.1,85.15,256.8,11450,,,,,,,,,,
HE 800 A,224,790,300,15,28,30,285.8,734,674,M27,130,198,2.698,12.03,303400,7682,8699,32.58,138.8,12640,842.6,1312,6.65,106.1,596.9,18290,,,,,,,,,,
HE 800 B,262,800,300,17.5,33,30,334.2,734,674,M27,134,198,2.713,10.34,359100,8977,10230,32.78,161.8,14900,993.6,1553,6.68,118.6,946,21840,,,,,,,,,,
HE 800 M,317,814,303,21,40,30,404.3,734,674,M27,138,198,2.746,8.655,442600,10870,12490,33.09,194.3,18630,1230,1930,6.79,136.1,1646,27780,,,,,,,,,,
HE 800 x 373,373,826,308,25,46,30,474.6,734,674,M27,144,200,2.782,7.469,523900,12690,14700,33.23,230.3,22530,1463,2311,6.89,152.1,2554,34070,,,,,,,,,,
HE 800 x 444,444,842,313,30,54,30,566,734,674,M27,148,206,2.824,6.357,634500,15070,17640,33.48,276.5,27800,1776,2827,7.01,173.1,4180,42840,,,,,,,,,,
HE 900 AA,198,870,300,15,20,30,252.2,830,770,M27,130,198,2.858,14.44,301100,6923,7999,34.55,147.2,9041,602.8,957.7,5.99,90.15,334.9,16260,,,,,,,,,,
HE 900 A,252,890,300,16,30,30,320.5,830,770,M27,132,198,2.896,11.51,422100,9485,10810,36.29,163.3,13550,903.2,1414,6.5,111.1,736.8,24960,,,,,,,,,,
HE 900 B,291,900,300,18.5,35,30,371.3,830,770,M27,134,198,2.911,9.99,494100,10980,12580,36.48,188.8,15820,1054,1658,6.53,123.6,1137,29460,,,,,,,,,,
HE 900 M,333,910,302,21,40,30,423.6,830,770,M27,138,198,2.934,8.824,570400,12540,14440,36.7,214.4,18450,1222,1929,6.6,136.1,1671,34750,,,,,,,,,,
HE 900 x 391,391,922,307,25,46,30,497.7,830,770,M27,144,200,2.97,7.604,674300,14630,16990,36.81,254.3,22320,1454,2312,6.7,152.1,2597,42560,,,,,,,,,,
HE 900 x 466,466,938,312,30,54,30,593.7,830,770,M27,148,204,3.012,6.464,814900,17380,20380,37.05,305.3,27560,1767,2832,6.81,173.1,4256,53400,,,,,,,,,,
HE 1000 AA,222,970,300,16,21,30,282.2,928,868,M27,132,198,3.056,13.8,406500,8380,9777,37.95,172.2,9501,633.4,1016,5.8,93.15,403.4,21280,,,,,,,,,,
HE 1000 A,272,990,300,16.5,31,30,346.8,928,868,M27,132,198,3.095,11.37,553800,11190,12820,39.96,184.6,14000,933.6,1470,6.35,113.6,822.4,32070,,,,,,,,,,
HE 1000 B,314,1000,300,19,36,30,400,928,868,M27,134,198,3.11,9.905,644700,12890,14860,40.15,212.5,16280,1085,1716,6.38,126.1,1254,37640,,,,,,,,,,
HE 1000 M,349,1008,302,21,40,30,444.2,928,868,M27,138,198,3.13,8.978,722300,14330,16570,40.32,235,18460,1222,1940,6.45,136.1,1701,43020,,,,,,,,,,
HE 1000 x 393,393,1016,303,24.4,43.9,30,500.2,928,868,M27,144,196,3.144,8.006,807700,15900,18540,40.18,271.3,20500,1353,2168,6.4,147.3,2332,48080,,,,,,,,,,
HE 1000 x 409,409,1020,306,25,46,30,521.2,928,868,M27,144,198,3.162,7.729,850800,16680,19450,40.4,278.8,22120,1446,2313,6.51,152.1,2642,52100,,,,,,,,,,
HE 1000 x 488,488,1036,311,30,54,30,622,928,868,M27,148,204,3.204,6.563,1027000,19820,23300,40.62,334.7,27320,1757,2837,6.63,173.1,4334,65270,,,,,,,,,,
HE 1000 x 579,579,1056,316,35,64,30,737,928,868,M27,154,208,3.254,5.625,1246000,23590,27950,41.11,393.3,34040,2154,3498,6.8,198.1,7102,82800,,,,,,,,,,
HL 920 x 342,342,912,418,19.3,32,24,436.1,848,800,M27,126,312,3.42,9.98,624900,13700,15450,37.85,190.1,39010,1867,2882,9.46,111.4,1193,75410,,,,,,,,,,
HL 920 x 365,365,916,419,20.3,34.3,24,464.4,847.4,799.4,M27,128,314,3.43,9.4,670500,14640,16520,38,200.4,42120,2011,3106,9.52,117,1446,81730,,,,,,,,,,
HL 920 x 387,387,921,420,21.3,36.6,24,493,847.8,799.8,M27,128,314,3.44,8.88,718300,15600,17630,38.17,210.9,45280,2156,3332,9.58,122.6,1734,88370,,,,,,,,,,
HL 920 x 417,417,928,422,22.5,39.9,24,532.5,848.2,800.2,M27,130,316,3.46,8.27,787600,16970,19210,38.46,223.9,50070,2373,3668,9.7,130.4,2200,98540,,,,,,,,,,
HL 920 x 446,446,933,423,24,42.7,24,569.6,847.6,799.6,M27,130,318,3.47,7.76,846800,18150,20600,38.56,239.1,53980,2552,3951,9.73,137.5,2685,106740,,,,,,,,,,
HL 920 x 488,488,942,422,25.9,47,24,621.3,848,800,M27,132,316,3.48,7.13,935390,19860,22615,38.8,259.3,59010,2797,4336,9.75,148,3514,117890,,,,,,,,,,
HL 920 x 534,534,950,425,28.4,51.1,24,680.1,847.8,799.8,M27,136,320,3.5,6.56,1031000,21710,24830,38.94,284.8,65560,3085,4796,9.82,158.7,4542,132070,,,,,,,,,,
HL 920 x 585,585,960,427,31,55.9,24,745.3,848.2,800.2,M27,138,322,3.52,6.02,1143090,23814,27363,39.16,312,72770,3408,5310,9.88,170.9,5932,148220,,,,,,,,,,
HL 920 x 653,653,972,431,34.5,62,24,831.9,848,800,M27,144,320,3.56,5.45,1292000,26590,30730,39.41,348.7,83050,3854,6022,9.99,186.6,8124,171280,,,,,,,,,,
HL 920 x 784,784,996,437,40.9,73.9,24,997.7,848.2,800.2,M27,152,326,3.62,4.62,1593000,31980,37340,39.95,417.6,103300,4728,7424,10.18,216.8,13730,218490,,,,,,,,,,
HL 920 x 967,967,1028,446,50,89.9,24,1231,848.2,800.2,M27,160,334,3.7,3.83,2033000,39540,46810,40.64,517.1,133900,6003,9486,10.43,257.9,24930,292450,,,,,,,,,,
HL 1000 x 296,296,982,400,16.5,27,30,376.8,928,868,M27,134,294,3.479,11.76,618700,12600,14220,40.52,181.5,28850,1443,2235,8.75,105.6,756.9,65670,,,,,,,,,,
HL 1000 A,321,990,400,16.5,31,30,408.8,928,868,M27,134,294,3.495,10.89,696400,14070,15800,41.27,184.6,33120,1656,2555,9,113.6,1021,76030,,,,,,,,,,
HL 1000 B,371,1000,400,19,36,30,472,928,868,M27,136,294,3.51,9.474,812100,16240,18330,41.48,212.5,38480,1924,2976,9.03,126.1,1565,89210,,,,,,,,,,
HL 1000 M,412,1008,402,21,40,30,524.2,928,868,M27,142,290,3.53,8.58,909800,18050,20440,41.66,235,43410,2160,3348,9.1,136.1,2128,101460,,,,,,,,,,
HL 1000 x 477,477,1018,404,25.5,45,30,608,928,868,M27,146,292,3.549,7.437,1047000,20570,23530,41.5,282.8,49610,2456,3838,9.03,150.6,3159,117050,,,,,,,,,,
HL 1000 x 554,554,1032,408,29.5,52,30,705.8,928,868,M27,150,296,3.585,6.471,1232000,23880,27500,41.79,328,59100,2897,4547,9.15,168.6,4860,141330,,,,,,,,,,
HL 1000 x 642,642,1048,412,34,60,30,817.6,928,868,M27,154,300,3.624,5.647,1451000,27680,32100,42.12,379.6,70280,3412,5379,9.27,189.1,7440,170670,,,,,,,,,,
HL 1000 x 748,748,1068,417,39,70,30,953.4,928,868,M27,160,304,3.674,4.909,1732000,32430,37880,42.62,438.9,85111,4082,6459,9.45,214.1,11670,210650,,,,,,,,,,
HL 1000 x 883,883,1092,424,45.5,82,30,1125.3,928,868,M27,166,312,3.737,4.231,2096000,38390,45260,43.16,516.5,105000,4952,7874,9.66,244.6,18750,265670,,,,,,,,,,
HL 1100 A,343,1090,400,18,31,20,436.5,1028,988,M27,116,294,3.71,10.83,867400,15920,18060,44.58,206.5,33120,1656,2568,8.71,103.4,1037,92710,,,,,,,,,,
HL 1100 B,390,1100,400,20,36,20,497,1028,988,M27,118,294,3.726,9.549,1005000,18280,20780,44.98,230.6,38480,1924,2988,8.8,115.4,1564,108680,,,,,,,,,,
HL 1100 M,433,1108,402,22,40,20,551.2,1028,988,M27,122,290,3.746,8.657,1126000,20320,23160,45.19,254.4,43410,2160,3362,8.87,125.4,2130,123500,,,,,,,,,,
HL 1100 R,499,1118,405,26,45,20,635.2,1028,988,M27,126,294,3.77,7.56,1294000,23150,26600,45.14,300.4,49980,2468,3870,8.87,139.4,3135,143410,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profili HD,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
,[kg/m], [mm],[mm], [mm], [mm], [mm],[cm2], [mm], [mm],, [mm], [mm],[m2/m], [m2/t],[cm4] ,[cm3],[cm3],[cm],[cm2],[cm4] ,[cm3],[cm3],[cm], [mm],[cm4] ,[cm6] ,,,,,,,,,,
,592,465,421,45,72.3,15,754.9,320.4,290.4,M27,134,316,2.5,4.22,250200,10760,13140,18.2,200.3,90170,4284,6574,10.93,207.2,11560,34670,,,,,,,,,,
HD 260 x 54.1,54.1,244,260,6.5,9.5,24,68.97,225,177,M27,110,158,1.47,27.22,7981,654.1,714.5,10.76,24.75,2788,214.5,327.7,6.36,53.62,30.31,382.6,,,,,,,,,,
HD 260 x 68.2,68.2,250,260,7.5,12.5,24,86.82,225,177,M27,110,158,1.48,21.77,10450,836.4,919.8,10.97,28.76,3668,282.1,430.2,6.5,60.62,52.37,516.4,,,,,,,,,,
HD 260 x 93.0,93,260,260,10,17.5,24,118.4,225,177,M27,114,158,1.5,16.12,14920,1148,1283,11.22,37.59,5135,395,602.2,6.58,73.12,123.8,753.7,,,,,,,,,,
HD 260 x 114,114,268,262,12.5,21.5,24,145.7,225,177,M27,116,160,1.52,13.27,18910,1411,1600,11.39,46.08,6456,492.8,752.5,6.66,83.62,222.4,979,,,,,,,,,,
HD 260 x 142,142,278,265,15.5,26.5,24,180.3,225,177,M27,120,164,1.54,10.91,24330,1750,2015,11.62,56.65,8236,621.6,950.5,6.76,96.62,406.8,1300,,,,,,,,,,
HD 260 x 172,172,290,268,18,32.5,24,219.6,225,177,M27,122,166,1.57,9.13,31310,2159,2524,11.94,66.89,10450,779.7,1192,6.9,111.1,719,1728,,,,,,,,,,
HD 320 x 74.2,74.2,301,300,8,11,27,94.58,279,225,M27,118,198,1.74,23.43,16450,1093,1196,13.19,35.4,4959,330.6,505.7,7.24,61.63,55.87,1041,,,,,,,,,,
HD 320 x 97.6,97.6,310,300,9,15.5,27,124.4,279,225,M27,118,198,1.76,17.98,22930,1479,1628,13.58,41.13,6985,465.7,709.7,7.49,71.63,108,1512,,,,,,,,,,
HD 320 x 127,127,320,300,11.5,20.5,27,161.3,279,225,M27,122,198,1.77,13.98,30820,1926,2149,13.82,51.77,9239,615.9,939.1,7.57,84.13,225.1,2069,,,,,,,,,,
HD 320 x 158,158,330,303,14.5,25.5,27,201.2,279,225,M27,124,202,1.8,11.37,39640,2403,2718,14.04,64.18,11840,781.7,1194,7.67,97.13,420.5,2741,,,,,,,,,,
HD 320 x 198,198,343,306,18,32,27,252.3,279,225,M27,128,204,1.83,9.23,51900,3026,3479,14.34,79.52,15310,1001,1530,7.79,113.6,805.3,3695,,,,,,,,,,
HD 320 x 245,245,359,309,21,40,27,312,279,225,M27,132,204,1.87,7.62,68130,3796,4435,14.78,94.85,19710,1276,1951,7.95,132.6,1501,5004,,,,,,,,,,
HD 320 x 300,300,375,313,27,48,27,382.1,279,225,M27,138,208,1.9,6.34,86900,4635,5522,15.08,120.47,24600,1572,2414,8.02,154.6,2650,6558,,,,,,,,,,
HD 360 x 134,134,356,369,11.2,18,15,170.6,320,290,M27,100,264,2.14,15.98,41510,2332,2562,15.6,45.19,15080,817.3,1237,9.4,64.77,168.8,4305,,,,,,,,,,
HD 360 x 147,147,360,370,12.3,19.8,15,187.9,320.4,290.4,M27,100,264,2.15,14.58,46290,2572,2838,15.7,49.72,16720,903.9,1369,9.43,69.47,223.7,4836,,,,,,,,,,
HD 360 x 162,162,364,371,13.3,21.8,15,206.3,320.4,290.4,M27,102,266,2.16,13.34,51540,2832,3139,15.81,53.98,18560,1001,1516,9.49,74.47,295.5,5432,,,,,,,,,,
HD 360 x 179,179,368,373,15,23.9,15,228.3,320.2,290.2,M27,104,268,2.17,12.12,57440,3122,3482,15.86,60.72,20680,1109,1683,9.52,80.37,393.8,6119,,,,,,,,,,
HD 360 x 196,196,372,374,16.4,26.2,15,250.3,319.6,289.6,M27,104,268,2.18,11.1,63630,3421,3837,15.94,66.5,22860,1222,1856,9.56,86.37,517.1,6829,,,,,,,,,,
HD 400 x 187,187,368,391,15,24,15,237.6,320,290,M27,104,286,2.24,12.03,60180,3271,3642,15.91,60.73,23920,1224,1855,10.03,80.57,414.6,7074,,,,,,,,,,
HD 400 x 216,216,375,394,17.3,27.7,15,275.5,319.6,289.6,M27,106,288,2.27,10.48,71140,3794,4262,16.07,70.32,28250,1434,2176,10.13,90.27,637.3,8515,,,,,,,,,,
HD 400 x 237,237,380,395,18.9,30.2,15,300.9,319.6,289.6,M27,108,290,2.28,9.64,78780,4146,4686,16.18,77.1,31040,1572,2387,10.16,96.87,825.5,9489,,,,,,,,,,
HD 400 x 262,262,387,398,21.1,33.3,15,334.6,320.4,290.4,M27,110,292,2.3,8.75,89410,4620,5260,16.35,86.55,35020,1760,2676,10.23,105.3,1116,10940,,,,,,,,,,
HD 400 x 287,287,393,399,22.6,36.6,15,366.3,319.8,289.8,M27,112,294,2.31,8.04,99710,5074,5813,16.5,93.46,38780,1944,2957,10.29,113.4,1464,12300,,,,,,,,,,
HD 400 x 314,314,399,401,24.9,39.6,15,399.2,319.8,289.8,M27,114,296,2.33,7.42,110200,5525,6374,16.62,103.3,42600,2125,3236,10.33,121.7,1870,13740,,,,,,,,,,
HD 400 x 347,347,407,404,27.2,43.7,15,442,319.6,289.6,M27,116,298,2.35,6.77,124900,6140,7139,16.81,113.9,48090,2380,3629,10.43,132.2,2510,15850,,,,,,,,,,
HD 400 x 382,382,416,406,29.8,48,15,487.1,320,290,M27,118,300,2.37,6.2,141300,6794,7965,17.03,126,53620,2641,4031,10.49,143.4,3326,18130,,,,,,,,,,
HD 400 x 421,421,425,409,32.8,52.6,15,537.1,319.8,289.8,M27,122,304,2.39,5.68,159600,7510,8880,17.24,139.9,60080,2938,4489,10.58,155.6,4398,20800,,,,,,,,,,
HD 400 x 463,463,435,412,35.8,57.4,15,589.5,320.2,290.2,M27,124,306,2.42,5.23,180200,8283,9878,17.48,154.3,67040,3254,4978,10.66,168.2,5735,23850,,,,,,,,,,
HD 400 x 509,509,446,416,39.1,62.7,15,649,320.6,290.6,M27,128,310,2.45,4.81,204500,9172,11030,17.75,170.6,75400,3625,5552,10.78,182.1,7513,27630,,,,,,,,,,
HD 400 x 551,551,455,418,42,67.6,15,701.4,319.8,289.8,M27,132,312,2.47,4.49,226100,9939,12050,17.95,184.9,82490,3947,6051,10.85,194.8,9410,30870,,,,,,,,,,
HD 400 x 592,592,465,421,45,72.3,15,754.9,320.4,290.4,M27,134,316,2.5,4.22,250200,10760,13140,18.2,200.3,90170,4284,6574,10.93,207.2,11560,34670,,,,,,,,,,
HD 400 x 634,634,474,424,47.6,77.1,15,808,319.8,289.8,M27,140,312,2.52,3.98,274200,11570,14220,18.42,214,98250,4634,7117,11.03,219.4,14020,38570,,,,,,,,,,
HD 400 x 677,677,483,428,51.2,81.5,15,863.4,320,290,M27,144,316,2.55,3.76,299500,12400,15350,18.62,231.9,106900,4994,7680,11.13,231.8,16790,42920,,,,,,,,,,
HD 400 x 744,744,498,432,55.6,88.9,15,948.1,320.2,290.2,M27,148,320,2.59,3.48,342100,13740,17170,19,256.1,119900,5552,8549,11.25,251,21840,49980,,,,,,,,,,
HD 400 x 818,818,514,437,60.5,97,15,1043,320,290,M27,154,326,2.63,3.21,392200,15260,19260,19.39,283.3,135500,6203,9561,11.4,272.1,28510,58650,,,,,,,,,,
HD 400 x 900,900,531,442,65.9,106,15,1149,319,289,M27,158,330,2.67,2.96,450200,16960,21620,19.79,313.8,153300,6938,10710,11.55,295.5,37350,68890,,,,,,,,,,
HD 400 x 990,990,550,448,71.9,115,15,1262,320,290,M27,164,336,2.72,2.75,518900,18870,24280,20.27,349.2,173400,7739,11960,11.72,319.5,48210,81530,,,,,,,,,,
HD 400 x 1086,1086,569,454,78,125,15,1386,319,289,M27,170,342,2.77,2.55,595700,20940,27210,20.73,385.8,196200,8645,13380,11.9,345.6,62290,96080,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profili HP,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
,[kg/m], [mm],[mm], [mm], [mm], [mm],[cm2], [mm], [mm],, [mm], [mm],[m2/m], [m2/t],[cm4] ,[cm3],[cm3],[cm],[cm2],[cm4] ,[cm3],[cm3],[cm], [mm],[cm4] ,[cm6] ,,,,,,,,,,
,103,307,306,14,14,27,131,279,225,M27,124,204,1.76,17.15,22050,1437,1611,12.97,54.84,6704,438.2,677.3,7.15,73.6,142.3,1435,,,,,,,,,,
HP 200 x 43,42.5,200,205,9,9,10,54.14,182,162,M27,100,106,1.18,27.88,3888,388.8,434.5,8.47,19.85,1294,126.2,193.4,4.89,38.72,17.68,117.9,,,,,,,,,,
HP 200 x 53,53.5,204,207,11.3,11.3,10,68.14,181.4,161.4,M27,104,108,1.2,22.36,4977,488,551.3,8.55,24.89,1673,161.7,248.6,4.96,45.62,34.2,155.1,,,,,,,,,,
HP 220 x 57,57.2,210,224.5,11,11,18,72.85,188,152,M27,102,122,1.27,22.12,5729,545.6,613.7,8.87,28.63,2079,185.2,285.5,5.34,54.09,44.18,205.4,,,,,,,,,,
HP 260 x 75,75,249,265,12,12,24,95.54,225,177,M27,116,164,1.49,19.9,10650,855.1,958.5,10.56,39.14,3733,281.7,435.1,6.25,64.12,79.29,522.6,,,,,,,,,,
HP 260 x 87,87.3,253,267,14,14,24,111.2,225,177,M27,118,166,1.5,17.24,12590,994.9,1124,10.64,45.12,4455,333.7,516.2,6.33,70.12,115.7,634.2,,,,,,,,,,
HP 305 x 79,78.4,299.3,306.4,11,11,15.2,99.9,277.3,246.9,M27,102,204,1.78,22.65,16331,1091,1210,12.79,37.04,5278,344.5,526.5,7.27,50.81,50.64,1096,,,,,,,,,,
HP 305 x 88,88,301.7,307.8,12.4,12.3,15.2,112.1,277.1,246.7,M27,104,206,1.78,20.28,18420,1221,1360,12.82,41.61,5984,388.9,595.2,7.31,54.81,70.05,1252,,,,,,,,,,
HP 305 x 95,94.9,303.7,308.7,13.3,13.3,15.2,121,277.1,246.7,M27,106,206,1.79,18.85,20040,1320,1474,12.87,44.65,6529,423,648,7.35,57.71,86.69,1375,,,,,,,,,,
HP 305 x 110,110,307.9,310.7,15.3,15.4,15.2,140.1,277.1,246.7,M27,108,208,1.8,16.39,23560,1531,1720,12.97,51.42,7709,496.2,761.7,7.4,63.91,131.4,1647,,,,,,,,,,
HP 305 x 126,126,312.3,312.9,17.5,17.6,15.2,160.6,277.1,246.7,M27,110,210,1.82,14.4,27410,1755,1986,13.06,58.91,9002,575.4,885.2,7.49,70.51,194.3,1951,,,,,,,,,,
HP 305 x 149,149,318.5,316,20.6,20.7,15.2,189.9,277.1,246.7,M27,114,214,1.83,12.3,33070,2076,2370,13.2,69.62,10910,690.5,1066,7.58,79.81,314.2,2414,,,,,,,,,,
HP 305 x 180,180,326.7,319.7,24.8,24.8,15.2,229.3,277.1,246.7,M27,118,218,1.86,10.31,40970,2508,2897,13.37,84.39,13550,847.4,1313,7.69,92.21,541.7,3077,,,,,,,,,,
HP 305 x 186,186,328.3,320.9,25.5,25.6,15.2,236.9,277.1,246.7,M27,118,218,1.86,10.02,42610,2596,3003,13.41,86.95,14140,881.5,1366,7.73,94.51,593.7,3230,,,,,,,,,,
HP 305 x 223,223,337.9,325.7,30.3,30.4,15.2,284,277.1,246.7,M27,124,220,1.89,8.49,52700,3119,3653,13.62,104.4,17580,1079,1680,7.87,108.9,998.4,4138,,,,,,,,,,
HP 320 x 88,88.5,303,304,12,12,27,112.7,279,225,M27,122,202,1.75,19.8,18740,1237,1379,12.9,47.66,5634,370.6,572.1,7.07,67.6,99.04,1190,,,,,,,,,,
HP 320 x 103,103,307,306,14,14,27,131,279,225,M27,124,204,1.76,17.15,22050,1437,1611,12.97,54.84,6704,438.2,677.3,7.15,73.6,142.3,1435,,,,,,,,,,
HP 320 x 117,117,311,308,16,16,27,149.5,279,225,M27,126,206,1.78,15.13,25480,1638,1849,13.06,62.1,7815,507.5,785.5,7.23,79.6,198.5,1695,,,,,,,,,,
HP 320 x 147,147,319,312,20,20,27,186.9,279,225,M27,130,210,1.8,12.27,32670,2048,2338,13.22,76.86,10160,651.3,1011,7.37,91.6,357.1,2263,,,,,,,,,,
HP 320 x 184,184,329,317,25,25,27,234.5,279,225,M27,136,216,1.83,9.94,42340,2574,2979,13.44,95.76,13330,841.2,1311,7.54,106.6,662,3067,,,,,,,,,,
HP 360 x 84,84.3,340,367,10,10,15.2,107.4,320,289.6,M27,98,262,2.1,24.93,23210,1365,1498,14.7,38.02,8243,449.2,683.1,8.76,47.81,44.41,2243,,,,,,,,,,
HP 360 x 109,109,346.4,371,12.8,12.9,15.2,138.7,320.6,290.2,M27,102,266,2.13,19.51,30630,1769,1956,14.86,48.59,10990,592.3,902.9,8.9,56.41,90.73,3053,,,,,,,,,,
